Time_stamp,Original_load_kw,Net_load_w_ESS_kw,ESS_injection_kw
2017-01-02T020000,267.2,263.2703492,-3.929650808
2017-01-02T021500,256,253.1393147,-2.860685323
2017-01-02T023000,275.2,274.7804293,-0.419570747
2017-01-02T024500,275.2,269.6116881,-5.588311905
2017-01-02T030000,267.2,270.6556379,3.455637857
2017-01-02T031500,272,275.0131415,3.013141526
2017-01-02T033000,273.6,274.8039236,1.203923571
2017-01-02T034500,275.2,275.5726587,0.372658733
2017-01-02T040000,262.4,265.8759606,3.475960621
2017-01-02T041500,251.2,255.0657688,3.865768753
2017-01-02T043000,262.4,265.713074,3.313074036
2017-01-02T044500,254.4,254.4,0
2017-01-02T050000,246.4,246.4,0
2017-01-02T051500,251.2,251.2,0
2017-01-02T053000,244.8,244.8,0
2017-01-02T054500,262.4,262.4,0
2017-01-02T060000,252.8,252.8,0
2017-01-02T061500,251.2,249.5494247,-1.650575279
2017-01-02T063000,252.8,245.8943902,-6.905609845
2017-01-02T064500,248,241.0527632,-6.947236846
2017-01-02T070000,254.4,247.357533,-7.042467047
2017-01-02T071500,246.4,239.8005879,-6.59941208
2017-01-02T073000,280,269.2777763,-10.72222365
2017-01-02T074500,288,276.5778234,-11.42217665
2017-01-02T080000,287.1788455,275.7050804,-11.47376509
2017-01-02T081500,292.9009677,280.5965014,-12.30446629
2017-01-02T083000,270.4,270.4,0
2017-01-02T084500,255.7276368,268.1294498,12.40181297
2017-01-02T090000,235.560496,254.9168022,19.35630621
2017-01-02T091500,252.2543736,271.4538574,19.19948384
2017-01-02T093000,250.279762,269.784401,19.504639
2017-01-02T094500,249.6,269.3987181,19.79871812
2017-01-02T100000,245.1046594,265.1650107,20.06035133
2017-01-02T101500,239.1920291,259.2801012,20.08807207
2017-01-02T103000,240,260.7186275,20.71862747
2017-01-02T104500,237.7103471,259.0103102,21.29996314
2017-01-02T110000,240,261.525411,21.525411
2017-01-02T111500,240,262.773734,22.77373403
2017-01-02T113000,236.8,260.0929404,23.29294036
2017-01-02T114500,242.1297942,265.3708696,23.24107541
2017-01-02T120000,231.5598127,255.9186722,24.3588595
2017-01-02T121500,227.0253196,251.5081267,24.48280711
2017-01-02T123000,228.8,251.2794184,22.47941845
2017-01-02T124500,223.9686585,241.8869655,17.91830704
2017-01-02T130000,243.2,261.4588671,18.25886711
2017-01-02T131500,260.8,273.5562333,12.75623331
2017-01-02T133000,249.6,259.3692729,9.769272922
2017-01-02T134500,260.8,273.5619521,12.76195209
2017-01-02T140000,256,272.4803931,16.48039311
2017-01-02T141500,248,258.0598376,10.05983763
2017-01-02T143000,259.2,270.9510494,11.75104942
2017-01-02T144500,270.4,280.059018,9.659017995
2017-01-02T150000,262.4,268.3924003,5.99240035
2017-01-02T151500,257.6,261.7337983,4.133798268
2017-01-02T153000,273.6,279.824946,6.224946014
2017-01-02T154500,276.8,279.8177611,3.01776113
2017-01-02T160000,278.4,280.3835991,1.98359908
2017-01-02T161500,280,281.57055,1.57054996
2017-01-02T163000,273.6,272.8867649,-0.713235146
2017-01-02T164500,281.6,283.9574702,2.357470173
2017-01-02T170000,278.4,279.029639,0.629638963
2017-01-02T171500,281.6,278.3733021,-3.226697869
2017-01-02T173000,278.4,267.9992481,-10.40075195
2017-01-02T174500,288,278.9717981,-9.028201874
2017-01-02T180000,288,281.2567692,-6.743230776
2017-01-02T181500,283.2,272.1019673,-11.09803269
2017-01-02T183000,288,277.3821181,-10.61788188
2017-01-02T184500,283.2,273.7767049,-9.423295095
2017-01-02T190000,276.8,270.0846651,-6.715334902
2017-01-02T191500,275.2,268.8006977,-6.399302324
2017-01-02T193000,281.6,271.18458,-10.41542
2017-01-02T194500,281.7595949,271.1007211,-10.65887381
2017-01-02T200000,272.1191945,276.6320971,4.512902563
2017-01-02T201500,267.2,258.2905772,-8.909422752
2017-01-02T203000,267.2,257.6997431,-9.500256868
2017-01-02T204500,288,280.310667,-7.689333026
2017-01-02T210000,284.8,272.8185764,-11.9814236
2017-01-02T211500,275.2,257.7779395,-17.42206054
2017-01-02T213000,288,273.9195849,-14.08041508
2017-01-02T214500,291.2,274.1093279,-17.09067209
2017-01-02T220000,286.4,268.8109011,-17.58909892
2017-01-02T221500,292.8,275.9679876,-16.83201236
2017-01-02T223000,286.6319431,268.9366614,-17.69528167
2017-01-02T224500,288,270.6883445,-17.3116555
2017-01-02T230000,284.8,267.8599009,-16.94009908
2017-01-02T231500,283.2,267.069601,-16.13039901
